User_ID,Restaurant_ID,Rating
1,912,3
1,204,4
1,6074,5
1,2253,1
1,2006,5
1,1828,4
1,1143,3
1,6033,3
1,839,5
1,5543,3
1,6067,2
1,4467,2
1,712,5
1,4837,4
1,3456,5
1,260,5
1,244,4
1,767,5
1,1791,4
1,1905,4
1,4139,5
1,4931,4
1,217,5
1,4597,4
1,1628,5
1,5865,1
1,5323,3
1,5745,3
1,4464,2
1,3436,3
2,3113,5
2,2277,4
2,3714,4
2,5207,3
2,6833,5
2,2988,3
2,1332,4
2,3032,5
2,2910,4
2,1716,4
2,5490,4
2,2187,5
2,5749,5
3,6732,2
3,262,2
3,6594,5
3,2584,4
3,3286,5
3,2193,4
3,542,4
3,1728,4
3,4646,5
3,5881,2
3,2577,4
3,1741,5
3,5369,5
3,4089,3
3,3241,3
3,5266,4
3,3758,4
4,3126,4
4,4881,5
4,3834,5
4,4334,3
4,2059,4
4,4532,3
4,7051,5
4,94,5
4,5572,3
4,5904,4
4,938,4
4,5584,3
4,4398,5
4,6151,4
4,2185,5
4,6296,4
4,5250,1
4,2786,3
4,913,1
4,2404,5
4,3561,5
4,1295,5
5,1961,3
5,474,5
5,1973,4
5,4647,3
5,645,4
5,701,5
5,5995,3
5,3981,3
5,6684,5
5,566,4
5,6230,4
5,4363,4
5,6273,2
5,1030,3
5,1051,3
5,5404,4
5,3893,3
5,4503,3
5,1352,2
6,482,4
6,1875,4
6,552,5
6,257,4
6,7042,5
6,2706,2
6,580,4
6,4211,3
6,1949,5
6,2281,3
6,5480,3
6,3976,4
6,1755,4
6,4417,3
6,1083,3
6,5925,5
6,4677,4
6,4720,5
6,3872,4
6,1990,2
6,6427,5
6,3874,5
6,6615,5
6,3334,5
6,1559,5
6,772,3
6,794,4
6,5398,3
6,3531,4
6,2902,2
7,17,4
7,3198,5
7,2172,2
7,6423,4
7,6431,4
7,3727,5
7,2336,3
7,3465,5
7,5706,2
7,5984,3
7,6417,4
7,4552,4
7,5422,3
7,5885,2
7,3986,5
7,1268,3
7,1555,4
7,2430,4
7,1783,4
7,479,4
7,4744,4
7,6027,5
8,5486,4
8,5867,4
8,2573,2
8,1955,4
8,2175,4
8,3242,2
8,1072,3
8,5502,2
8,5287,3
8,2457,3
8,3745,4
8,2590,4
8,6159,3
8,594,5
8,76,5
8,3754,4
9,2452,4
9,5434,5
9,848,1
9,1100,3
9,2166,2
9,945,5
9,876,3
9,6081,4
9,4532,5
9,1273,4
9,2231,2
9,2308,5
9,4954,4
9,1725,2
9,5878,1
9,2808,4
9,1667,4
9,5631,4
9,5195,1
9,6987,4
9,2162,5
9,4140,5
9,4002,1
9,2057,4
9,6931,4
9,416,4
9,756,4
10,3329,4
10,5084,1
10,6139,4
10,1266,3
10,1939,5
10,7082,3
10,1331,5
10,6552,5
10,6641,3
10,1450,4
10,3377,4
10,203,3
10,1469,2
10,6033,5
10,2721,4
10,6409,4
10,3372,4
10,6571,5
10,5487,3
10,7078,1
10,6021,5
10,2032,3
10,2185,4
10,1304,5
10,6450,1
10,5744,4
10,885,3
11,3574,3
11,4966,4
11,4189,5
11,947,5
11,3155,4
11,4723,4
11,1557,2
11,2086,5
11,363,4
11,5806,4
11,3572,3
11,13,4
11,4259,4
11,6606,3
11,4410,4
11,5626,4
11,5893,5
11,6078,3
11,6037,4
11,5493,4
12,2489,4
12,2350,4
12,1721,4
12,3521,5
12,6436,5
12,4751,5
12,4969,4
12,5363,3
12,2639,4
12,3809,4
13,6704,5
13,6153,4
13,1924,5
13,5511,4
13,2542,5
13,1840,4
13,6607,5
13,1631,4
13,1207,4
13,200,2
13,378,4
13,2005,5
14,6376,4
14,3482,5
14,1792,4
14,1440,5
14,6587,4
14,5700,5
14,4243,5
14,3805,4
14,411,5
14,4566,4
14,2041,5
14,6949,4
14,994,5
15,3686,3
15,2123,4
15,6158,3
15,2025,3
15,6880,4
15,5223,3
15,2271,4
15,6273,2
15,6370,5
15,4270,4
15,3969,5
15,5134,5
15,1959,1
15,2249,5
15,3603,4
15,634,4
15,5845,5
15,2340,3
15,1920,4
15,2225,5
15,2751,5
15,2619,4
15,4424,5
15,660,5
15,1133,5
16,1797,4
16,2235,2
16,3570,4
16,3978,2
16,237,4
16,3185,3
16,2753,3
16,5479,5
16,5563,4
16,6538,5
16,3312,5
16,5932,3
16,1352,2
16,6885,1
16,3828,4
16,1045,5
16,5097,3
16,4375,4
16,220,5
16,3227,4
16,4848,5
16,4623,5
16,5431,3
16,222,1
16,687,3
17,3879,5
17,5484,5
17,937,3
17,4620,3
17,1785,4
17,3809,5
17,5730,4
17,2099,5
17,6282,4
17,3021,5
17,1374,3
17,4963,4
17,4974,5
17,6127,3
18,6965,5
18,5605,5
18,4918,2
18,6598,5
18,991,4
18,6522,5
18,4636,5
18,6411,4
18,336,5
